artist,song
0,bastille ,"Ooh, I'm not ready
Ooh, I'm not ready
Ooh, I'm not ready
Ooh, I'm not ready

Snakes are biting at my heels
The worries that refuse to let us go
I've been kicking them away
Been hoping not to let them take control

Ooh, I'm not ready
Drink to escape their bites
Show me distraction
Even for just one night

'Cause it's easier to bury
My head in the sand sometimes
Yes, it's easier to bury
My head in the sand sometimes
And I know, I know, I know
It's not the right way to go
But I pray for the ground to swallow me whole

Ooh, I'm not ready
Ooh, I'm not ready

Now these days are feeling dark
We're struggling to figure out last year
When the woman on the news keeps saying things that no one wants to hear

Ooh, I'm not ready
Drink to escape our minds
Show me distraction
Even for just one night

'Cause it's easier to bury
My head in the sand sometimes
Yes, it's easier to bury
My head in the sand sometimes
And I know, I know, I know
It's not the right way to go
But I pray for the ground to swallow me whole 
Yes, I pray for the ground to swallow me whole

Ooh, I'm not ready
Ooh, I'm not ready

""Come on, boys. Let's go tear this place apart!""

'Cause I know, 'cause I know life is simple when
I can just ignore it all
'Cause I know, 'cause I know, 'cause I know
Life is simple when
I can just ignore it all
'Cause I know, 'cause I know, 'cause I know

If I'm not ready
Snakes will consume me whole
If I'm not steady
Baby they'll take control

But it's easier to bury
My head in the sand sometimes
Yes, it's easier to bury
My head in the sand sometimes
I know, I know, I know
It's not the right way to go
But I pray for the ground to swallow me whole
Yes, I know, I know, I know
It's not the right way to go
But I pray for the ground to swallow me whole"
1,rolling blackouts coastal fever,"Stepping into the town
Ignore the stink of burning leather
'Cause you're young and right down
Radio sings, cool life forever
And depending on the weather, you'll be there
Your shadow tall, you lean against the wall
Waiting on the call
Waiting on the call that will set it out

At the top of the hour, meet me at Cappuccino City
Roaches climbing the wall, coffee is cold
Service is shitty, in neon light you look so pretty
As you say
Your race is run, no longer having fun
You're not the only one
Not the only one with short memory
You're not the only one with short memory

FM on the stereo
Belgians in the Congo
Short memory
Cappuccino City"
2,rolling blackouts coastal fever,"Stand on the morning, head like a weather vane
You stuck to your shirt, you clung to your lemonade
Dirt in the wind, the bugs were singing out of tune
You hear the thump beating down low

When your heart aches and your morning breaks
By the TV on your own
And your hollow hand on a cold can
You're rising like a stone
I heard the warning, I saw you falling
Down along Sydney Road
Be alright, put your weight
On the second hand

Back in the headlights
Windows were screening one by one
A moving image of your reflection
You hardly look sharp, your guts are in a knot
And all your new friends are frayed at the ends

When your heart aches and your morning breaks
By the TV on your own
And your hollow hand on a cold can
You're rising like a stone
I heard the warning, I saw you falling
Down along Sydney Road
Be alright, put your weight
On the second hand

I heard the warning
I saw you falling"
3,bastille ,"Yeah, would I lie to you baby?
Yeah, would I?
No, no, no
Yeah, would I lie to you baby?
Yeah, would I lie?
Darling (Oh yeah)
Yeah, would I lie to you baby?
Yeah, would I lie to you girl? (Would I lie to you baby?)
Yeah, would I lie to you, lie to you?

Look into my eyes, can't you see they're open wide?
Would I lie to you, baby? Would I lie to you? (Oh, yeah)
Look into my eyes, can't you see they're open wide?
Would I lie to you, baby, would I lie to you?

Everybody wants to know the truth
In my arms is the only proof
I've hidden my heart behind the bedroom door
Now it's open, I can't do no more
I'm telling you baby you will never find another girl
In this heart of mine

Look into my eyes, can't you see they're open wide?
Would I lie to you, baby? Would I lie to you? (Oh, yeah)
Don't you know it's true, girl, there's no one else but you?
Would I lie to you, baby?
Would I lie?

Everybody's got their history
On every page, a mystery
You can read my diary, you're in every line
A jealous mind, never satisfied (Oh, yeah)
But I'm telling you baby, you will never find another girl
In this heart of mine

Look into my eyes, can't you see they're open wide?
Would I lie to you, baby? Would I lie to you? (Oh, yeah)
Don't you know it's true, girl, there's no one else but you?
Would I lie to you, baby, yeah? (Yeah)
Look into my eyes, can't you see they're open wide?
Would I lie to you, baby, would I lie to you? (Oh, yeah)
Don't you know it's true, girl, there's no one else but you?
Would I lie to you, baby, yeah? (Yeah)
Look into my eyes, can't you see they're open wide?
Would I lie to you, baby, would I lie to you? (Oh, yeah)
Don't you know it's true, girl, there's no one else but you?
Would I lie to you, baby, yeah? (Yeah)

Would I lie to you?
I wanna see you night and day
Would I lie?
Tell you about it if you'd stay
Would I lie to you baby?
Think I'll give my love away
Would I lie?
It's not the kind of game I play

I'm telling you baby you will never find another girl
In this heart of mine
Deep in my heart baby

Look into my eyes, can't you see they're open wide?
Would I lie to you, baby? Would I lie to you? (Oh, yeah)
Don't you know it's true, girl, there's no one else but you?
Would I lie to you, baby? Would I lie?

Would I lie? Would I lie? Would I lie?
Would I lie? Would I lie to you? (Oh, yeah)
Would I lie? Would I lie? Would I lie?
Would I lie? Would I lie to you?
Would I lie? Would I lie? Would I lie?
Would I lie? Would I lie to you?"
4,rolling blackouts coastal fever,"I see a problem
I'm not willing to address
And I take pleasure
In not wanting to impress
'Cos I'm drinking
From the fountain of good fortune

And I see the beauty in technology
And the simple sentiment of history
And it's all too easy with the privilege
Of the fountain of good fortune

I've been washed
I've been anointed
I've eaten the body of The Lord
It's from the fountain of good fortune
Springs dirty cloudy water
That pollutes the mind
Of anyone around

Holding on to my own
Burn it down when I'm gone
Holding on to my own
Holding on

Toes at the weir
Back to them all
Too loud a solitude"
5,bastille ,"We're nocturnal, we're nocturnal
We're nocturnal, we're nocturnal
We're nocturnal, we're nocturnal
We're noc-, we're noc-, we're nocturnal

You put your arms around me
Partners in crime in the dead of night
It's our weekend religion
A different chord but the same refrain

We've only got ourselves to blame
Again and again and again
Again and again and again
Let every night play out the same
'Cause I wouldn't, I wouldn't change a thing

We're nocturnal creatures, we own the night
And we don't need a reason if we want to lose our minds
We're nocturnal creatures, drawn to the flame
And the morning doesn't reach us
Well, not until we want it to, want it to

We're nocturnal, we're nocturnal
We're nocturnal, we're nocturnal
We're nocturnal, we're nocturnal
We're noc-, we're noc-, we're nocturnal

No moon, no stars above us
The orange sky says the night's alive
This time with you's elastic
We stretch these hours as far as we can make them go

We've only got ourselves to blame
Again and again and again
Again and again and again
Let every night play out the same
'Cause I wouldn't, I wouldn't change a thing

We're nocturnal creatures, we own the night
And we don't need a reason if we want to lose our minds
We're nocturnal creatures, drawn to the flame
And the morning doesn't reach us
Well, not until we want it to, want it to

Oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh-oh, oh-oh
Oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh-oh, oh-oh

We're nocturnal creatures, we own the night
And we don't need a reason if we want to lose our minds
We're nocturnal creatures, drawn to the flame
And the morning doesn't reach us
Well, not until we want it to, want it to

Oh, oh
We're nocturnal, we're nocturnal
We're nocturnal, we're nocturnal
Oh, oh
We're nocturnal, we're nocturnal
Oh, oh
We're noc-, we're noc-, we're nocturnal
We're nocturnal, we're nocturnal
We're nocturnal, we're nocturnal
Oh, oh
We're nocturnal, we're nocturnal
We're noc-, we're noc-, we're nocturnal

We received the freedom but we were completely unaware what to do with this freedom
It felt like the hungry people received the foods and we just ate everything"
6,bastille ,"Roll the window down, let the air blow 'round you
A sadness in the breeze as the night divides us

In these darker days, I push the limit to the love you offer
There's a riot in my head, demanding we do this forever

Why would we divide when we could come together?
Just bodies that collide, lost and found each other
So don't, don't leave me alone
Don't leave me alone, don't leave me alone
Why would we divide when we could come together?

Looking back around, glamorize the chaos
Don't let summer nights destroy everything before us

In these darker days, I push the limits to the love you offer
There's a riot in my head, demanding we do this forever

Why would we divide when we could come together?
Just bodies that collide, lost and found each other
So don't, don't leave me alone
Don't leave me alone, don't leave me alone
Why would we divide when we could come together?

So roll the window down, won't let you go like this
Go like this, go like this
Roll the window down, won't let you go like this
Go like this, go like this

Why would we divide when we could come together?
Are we just bodies that collide, lost and found each other
So don't, don't leave me alone
Don't leave me alone, don't leave me alone
Why would we divide when we could come together?

Roll the window down, won't let you go like this
Go like this, go like this
Roll the window down, won't let you go like this
Go like this, go like this"
7,bastille ,"Don't talk to strangers.

Oh, in the strangest dreams, walking by your side
It is the hole you impose upon your life
When you're out, loneliness, it crawls up in the ground
It's what you feel, but can't articulate out loud.

Oh you go to sleep on your own and you wake each day with your thoughts
And it scares you being alone
It's a last resort

All you want is someone onto whom you can cling
Your mother warned of strangers and the dangers they may bring
Your dreams and memories are blurring into one
The scenes which hold the waking world slowly come undone

You'll come undone

Oh, you go to sleep on your own,
And you wake each day with your thoughts
And it scares you being alone,
It's a last resort

You go to sleep on your own
And you wake each day with your thoughts
And it scares you being alone, it's a last resort

Oh

Don't talk to strangers,
And don't walk into danger.
Don't talk to strangers,
And don't walk into danger.

Oh you go to sleep on your own,
And you wake each day with your thoughts
And it scares you being alone,
It's a last resort

You go to sleep on your own,
And you wake each day with your thoughts
And it scares you being alone,
It's a last resort

Don't talk to strangers

Oh you go to sleep on your own,
And you wake each day with your thoughts
And it scares you being alone,
It's a last resort"
8,bastille ,"""What the f*ck are y'all doing is the question?
This is the question""

The animals break out their cages now
Chaos is raining down around us
But here we stand with our arms folded
Do you wanna be free of this?

When panic rises like the ocean we
Just keep on flicking through the stations 'cause
If we don't post it does it happen
Oh I wanna be free of this

Have you and I been sleepwalking way too long
Won't someone pour ice water on me

It only matters if we care now
If you're way beyond that
And I'm gonna dust you off of my shoulders
And I remember when we cared now
If you're way beyond that
Then I'm gonna dust you off of my shoulders, my shoulders

Movies and news on television
Sometimes it's hard to tell the differences oh
When real life's more fucked up than fiction
Do you wanna be free of this?

Have you and I been sleepwalking way too long
Won't someone pour ice water on me

It only matters if we care now
If you're way beyond that
And I'm gonna dust you off of my shoulders
And I remember when we cared now
If you're way beyond that
Then I'm gonna dust you off of my shoulders

I don't wanna play dumb anymore
I just wanna feel something like before
I don't wanna feel numb anymore
I just wanna something like before

It only matters if we care now
If you're way beyond that
Then I'm gonna dust you off of my shoulders
And I remember when we cared now
If you're way beyond that
Then I'm gonna dust you off of my shoulders, my shoulders

""Television shoulders have the choice of watching the tragedy
Play out from the seating and comfort of their living rooms
But victims have to respond to the pressure of the media while still in shock""

If you're way beyond that
I'm gonna dust you off of my shoulders, my shoulders"
9,bastille ,"When I watch the world burn
All I think about is you
When I watch the world burn
All I think about is you

There must be something in the Kool-Aid
Cruising through the doom days
God knows what is real and what is fake
Last couple years have been a mad trip
But how'd y'all look so perfect?
You must have some portraits in the attic

We'll stay offline so no one gets hurt
Hiding from the real world
Just don't read the comments ever, ever
We fucked this house up like the planet
We were running riot
Crazy that some people still deny it

Think I'm addicted to my phone
My scrolling horror show
I'm live-streaming the final days of Rome
One tab along, it's pornographic
Everybody's at it
No surprise we're so easily bored

Let's pick the truth that we believe in
Like a bad religion
Tell me all your original sins
So many questionable choices
We love the sound that our voice makes
Man, this echo chamber's getting loud

We're gonna choose the blue pill
We're gonna close the curtains
We're gonna rabbit hole down, third act love now
She's gonna flip some tables
I'm gonna move this tale on
We're gonna rabbit hole down, third act love now

We'll be the proud remainers
Here 'til the morning breaks us
We run away from real life, thoughts tonight
We're gonna Peter Pan out
Fade to the close-up, arms 'round
We're gonna stay naive tonight, night, night

When I watch the world burn
All I think about is you
When I watch the world burn
All I think about is you

You, you, you, you
All I think about is you
So I put my phone down
Fall into the night with you"
